
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('1', 'A', 'BRA', 'CRO', '12.6.', '22:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('2', 'A', 'MEX', 'CMR', '13.6.', '18:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('17', 'A', 'BRA', 'MEX', '17.6.', '21:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('18', 'A', 'CMR', 'CRO', '18.6.', '24:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('33', 'A', 'CMR', 'BRA', '23.6.', '22:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('34', 'A', 'CRO', 'MEX', '23.6.', '22:00', 'Gruppenspiel', 'F');

INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('3', 'B', 'ESP', 'NED', '13.6.', '21:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('4', 'B', 'CHI', 'AUS', '13.6.', '24:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('19', 'B', 'AUS', 'NED', '18.6.', '18:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('20', 'B', 'ESP', 'CHI', '18.6.', '21:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('35', 'B', 'AUS', 'ESP', '23.6.', '18:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('36', 'B', 'NED', 'CHI', '23.6.', '18:00', 'Gruppenspiel', 'F');

INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('5', 'C', 'COL', 'GRE', '14.6.', '18:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('6', 'C', 'CIV', 'JPN', '15.6.', '03:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('21', 'C', 'COL', 'CIV', '19.6.', '18:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('22', 'C', 'JPN', 'GRE', '19.6.', '24:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('37', 'C', 'JPN', 'COL', '24.6.', '22:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('38', 'C', 'GRE', 'CIV', '24.6.', '22:00', 'Gruppenspiel', 'F');

INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('7', 'D', 'URU', 'CRC', '14.6.', '21:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('8', 'D', 'ENG', 'ITA', '14.6.', '24:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('23', 'D', 'URU', 'ENG', '19.6.', '21:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('24', 'D', 'ITA', 'CRC', '20.6.', '18:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('39', 'D', 'ITA', 'URU', '24.6.', '18:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('40', 'D', 'CRC', 'ENG', '24.6.', '18:00', 'Gruppenspiel', 'F');

INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('9', 'E', 'SUI', 'ECU', '15.6.', '18:00', 'Gruppenspiel', 'F');
INSERT INTO `wmtipp2014`.`wmtipp2014_matches` (`matchnr`, `group`, `team1`, `team2`, `matchdate`, `matchtime`, `matchtype`, `evaluationDone`) VALUES ('10', 'E', 'FRA', 'HON', '15.6.', '21:00', 'Gruppenspiel', 'F');
