15.02.2016, 11:16:54, INFO , Clicked showUserList
15.02.2016, 11:20:37, INFO , Clicked showUserList
29.04.2016, 18:16:05, INFO , Clicked showUserRank
30.04.2016, 12:48:43, INFO , Clicked showUserRank
30.04.2016, 12:49:12, INFO , Clicked showUserRank
30.04.2016, 12:49:36, INFO , Clicked showUserRank
30.04.2016, 12:49:59, INFO , Clicked showUserRank
30.04.2016, 12:50:41, INFO , Clicked showUserRank
30.04.2016, 12:50:43, INFO , Clicked showUserRank
30.04.2016, 12:50:56, INFO , Clicked showUserRank
30.04.2016, 12:51:03, INFO , Clicked showUserRank
30.04.2016, 12:51:29, INFO , Clicked showUserRank
30.04.2016, 12:51:32, INFO , clicked showAllUsersTipps.php5
30.04.2016, 12:51:36, INFO , clicked showAllUsersTipps.php5
30.04.2016, 12:52:27, INFO , clicked showAllUsersTipps.php5
30.04.2016, 12:52:29, INFO , clicked showAllUsersTipps.php5
30.04.2016, 12:52:32, INFO , clicked showAllUsersGroupRankTipps.php5
30.04.2016, 12:52:35, INFO , clicked showAllUsersFinalmatchTipps.php5
30.04.2016, 12:52:38, INFO , clicked showAllUsersSpecialTipps.php5
30.04.2016, 12:52:44, INFO , clicked showAllUsersTipps.php5
30.04.2016, 12:52:47, INFO , clicked showAllUsersGroupRankTipps.php5
30.04.2016, 12:52:50, INFO , clicked showAllUsersFinalmatchTipps.php5
30.04.2016, 12:52:57, INFO , clicked showAllUsersSpecialTipps.php5
30.04.2016, 12:53:38, INFO , clicked showAllUsersSpecialTipps.php5
30.04.2016, 12:53:47, INFO , clicked showAllUsersFinalmatchTipps.php5
30.04.2016, 12:53:50, INFO , clicked showAllUsersSpecialTipps.php5
30.04.2016, 12:54:08, INFO , clicked showAllUsersSpecialTipps.php5
30.04.2016, 12:54:17, INFO , clicked showAllUsersSpecialTipps.php5
30.04.2016, 12:54:53, INFO , clicked showAllUsersSpecialTipps.php5
30.04.2016, 12:55:09, INFO , clicked showAllTippsAndScore.php5 for 'Robert Kalusok'
30.04.2016, 12:55:17, INFO , Clicked showUserRank
